"country","year","Yt","DR.2.Yt","DR.3.Yt"
"Slovak Republic",2028,223716744069.263,179927108481.201,161617735847.036
"Slovak Republic",2029,228139503480.925,179886441575.297,160012457618.735
"Slovak Republic",2030,232562262892.585,179778193322.187,158363584548.551
"Slovak Republic",2031,236985022304.247,179605029605.888,156675017957.66
"Slovak Republic",2032,241407781715.907,179369537748.772,154950468888.894
"Slovak Republic",2033,245830541127.569,179074228567.483,153193465881.292
"Slovak Republic",2034,250253300539.231,178721538378.405,151407362453.169
"Slovak Republic",2035,254676059950.892,178313830953.924,149595344304.115
"Slovak Republic",2036,259098819362.554,177853399430.605,147760436245.931
"Slovak Republic",2037,263521578774.214,177342468170.423,145905508872.186
"Slovak Republic",2038,267944338185.876,176783194576.182,144033284975.751
"Slovak Republic",2039,272367097597.536,176177670862.155,142146345723.309
"Slovak Republic",2040,276789857009.198,175527925781.061,140247136595.596
"Slovak Republic",2041,281212616420.858,174835926308.351,138337973101.722
"Slovak Republic",2042,285635375832.521,174103579284.869,136421046275.759
"Slovak Republic",2043,290058135244.181,173332733018.819,134498427963.371
"Slovak Republic",2044,294480894655.843,172525178848.061,132572075906.105
"Slovak Republic",2045,298903654067.503,171682652663.614,130643838630.6
"Slovak Republic",2046,303326413479.165,170806836395.341,128715460149.809
"Slovak Republic",2047,307749172890.825,169899359460.67,126788584482.991
"Slovak Republic",2048,312171932302.487,168961800177.265,124864760001.088
"Slovak Republic",2049,316594691714.149,167995687140.476,122945443603.779
"Slovak Republic",2050,321017451125.81,167002500566.422,121032004734.374
"Slovenia",2015,73758319271.9466,76738155370.5332,78250200915.6081
"Slovenia",2016,75996452004.2824,77516381044.368,78276345564.4109
"Slovenia",2017,79928815866.6999,79928815866.6999,79928815866.6999
"Slovenia",2018,83428964028.2372,81793101988.4678,80998994202.172
"Slovenia",2019,86353359181.7672,83000153000.5452,81396323104.6915
"Slovenia",2020,84616703453.3452,79736209539.8312,77436270407.2886
"Slovenia",2021,86230493112.3394,79663646645.8456,76614676265.6966
"Slovenia",2022,87844282771.333,79563273373.4076,75775249976.4783
"Slovenia",2023,89458072430.3271,79436208223.67,74919727293.665
"Slovenia",2024,91071862089.3208,79283536527.1808,74049757987.0593
"Slovenia",2025,92685651748.3145,79106311314.6663,73166909378.525
"Slovenia",2026,94299441407.3086,78905554166.4157,72272669745.2187
